dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,error
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallBackwardsS9_1_1.660_5.080_9_1_caucafall.avi,9,1,FallBackwardsS9,fallen,2,1,5.08,12.6,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/KneelS9_0_0.000_2.280_9_1_caucafall.avi,9,1,KneelS9,stand_up,7,0,8.92,10.8,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/SitDownS9_0_0.000_0.862_9_1_caucafall.avi,9,1,SitDownS9,stand_up,7,0,11.362,11.9,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallForwardS10_0_0.000_0.860_10_1_caucafall.avi,10,1,FallForwardS10,fall,1,1,0.86,3.56,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/SitDownS10_0_0.000_1.540_10_1_caucafall.avi,10,1,SitDownS10,sit_down,3,0,1.54,4.86192,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/PickupobjectS10_0_0.000_1.640_10_1_caucafall.avi,10,1,PickupobjectS10,other,9,0,1.64,11.83941,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallRightS10_1_2.270_4.410_10_1_caucafall.avi,10,1,FallRightS10,fall,1,1,2.27,4.41,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallLeftS10_1_0.970_3.350_10_1_caucafall.avi,10,1,FallLeftS10,fallen,2,1,3.35,10.59,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallForwardS10_0_0.000_0.860_10_1_caucafall.avi,10,1,FallForwardS10,fallen,2,1,3.56,12.14,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallBackwardsS10_1_1.910_4.410_10_1_caucafall.avi,10,1,FallBackwardsS10,fallen,2,1,4.41,13.69,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallRightS10_1_2.270_4.410_10_1_caucafall.avi,10,1,FallRightS10,fallen,2,1,4.41,10.09,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/FallSittingS10_1_1.850_4.450_10_1_caucafall.avi,10,1,FallSittingS10,fallen,2,1,4.45,14.39,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/SitDownS10_0_0.000_1.540_10_1_caucafall.avi,10,1,SitDownS10,sitting,4,0,4.862,9.54942,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/SitDownS10_0_0.000_1.540_10_1_caucafall.avi,10,1,SitDownS10,stand_up,7,0,9.549,10.98692,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/KneelS10_7_10.982_13.042_10_1_caucafall.avi,10,1,KneelS10,stand_up,7,0,10.982,13.042,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/SitDownS10_0_0.000_1.540_10_1_caucafall.avi,10,1,SitDownS10,standing,8,0,10.987,11.7,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/PickupobjectS10_0_0.000_1.640_10_1_caucafall.avi,10,1,PickupobjectS10,standing,8,0,11.839,12.77907,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.10/PickupobjectS10_0_0.000_1.640_10_1_caucafall.avi,10,1,PickupobjectS10,other,9,0,12.779,14.599,ValueError('Insufficient readable sampled frames (0/32)')
